NO,NOMOR INDUK BUKU,NOMOR INVENTARIS,JUDUL,NOMOR PANGGIL SETEMPAT,PENERBIT,TANGGAL MASUK,TANGGAL INVENTARIS
8225,5997/PAMNS/2024,5997.01,Sherlock Hermes : Berlian Biru,823 Art S,Cakrawala ,26 Oktober 2022,26-Nov-24
8226,5998/PAMNS/2024,5998.02,Sherlock Hermes : Berlian Biru,823 Art S,Cakrawala ,26 Oktober 2022,26-Nov-24
9186,5999/PAMNS/2024,5999.01,The Jungle Book,823 Kip T,Kompas Gramedia,26 Oktober 2022,26-Nov-24
9187,6000/PAMNS/2024,6000.02,The Jungle Book,823 Kip T,Kompas Gramedia,26 Oktober 2022,26-Nov-24
2531,6001/PAMNS/2024,6001.01,FRANKENSTAIN,823  She F,Kompas Gramedia,26 Oktober 2022,26-Nov-24
2532,6002/PAMNS/2024,6002.02,FRANKENSTAIN,823  She F,Kompas Gramedia,26 Oktober 2022,26-Nov-24
2899,6003/PAMNS/2024,6003.01,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2900,6004/PAMNS/2024,6004.02,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2901,6005/PAMNS/2024,6005.03,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2902,6006/PAMNS/2024,6006.04,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2903,6007/PAMNS/2024,6007.05,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2904,6008/PAMNS/2024,6008.06,HOW TO WIN AN ARGUMENT : Sebuah Panduan Klasik Tentang Seni Persuasi,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2879,6009/PAMNS/2024,6009.01,HOW TO GROW OLD : Kebijaksanaan Klasik Untuk Usia Pasca-Paruh Baya,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2880,6010/PAMNS/2024,6010.02,HOW TO GROW OLD : Kebijaksanaan Klasik Untuk Usia Pasca-Paruh Baya,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2881,6011/PAMNS/2024,6011.03,HOW TO GROW OLD : Kebijaksanaan Klasik Untuk Usia Pasca-Paruh Baya,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
2882,6012/PAMNS/2024,6012.04,HOW TO GROW OLD : Kebijaksanaan Klasik Untuk Usia Pasca-Paruh Baya,188 Cic H,Imprint KPG ( Kepustakaan Populer Gramedia) ,26 Oktober 2022,28-Nov-24
3693,6013/PAMNS/2024,6013.01,"Kalau Mau Dicintai Selamanya, Jangan Pilih Yang Hanya Bisa Dicintai Sementara ",811 Dun K,PT Elex Media Komputindo,26 Oktober 2022,28-Nov-24
929,6014/PAMNS/2024,6014.01,BEING UNHAPPY IS A CHOICE,811 Adi K  ,PT Elex Media Komputindo,26 Oktober 2022,28-Nov-24
9243,6015/PAMNS/2024,6015.01,The Petrakos Bride (Pendamping Sang Petrakos),823 Gra P,PT Gramedia Pustaka Utama,26 Oktober 2022,04 Desember 2024
380,6016/PAMNS/2024,6016.01,Air kata kata,811 Sin A,PT Gramedia Pustaka Utama,26 Oktober 2022,29-Nov-24
381,6017/PAMNS/2024,6017.02,Air kata kata,811 Sin A,PT Gramedia Pustaka Utama,22 Oktober 2022,29-Nov-24
5739,6018/PAMNS/2024,6018.01,Miss B: Your Psycho,813 Bas M,PT Gramedia Widiasarana Indonesia,26 Oktober 2022,04 Desember 2024
5740,6019/PAMNS/2024,6019.02,Miss B: Your Psycho,813 Bas M,PT Gramedia Widiasarana Indonesia,26 Oktober 2022,04 Desember 2024
5744,6020/PAMNS/2024,6020.01,Misteri Harta Berdarah,813 Sis M,PT Gramedia,26 Oktober 2022,29-Nov-24
5745,6021/PAMNS/2024,6021.02,Misteri Harta Berdarah,813 Sis M,PT Gramedia,26 Oktober 2022,29-Nov-24
4042,6022/PAMNS/2024,6022.01,Kekasih Musim Gugur,813 Pam K,PT Gramedia Pustaka Utama,26 Oktober 2022,29-Nov-24
4043,6023/PAMNS/2024,6023.02,Kekasih Musim Gugur,813 Pam K,PT Gramedia Pustaka Utama,26 Oktober 2022,29-Nov-24
404,6024/PAMNS/2024,6024.01,Aku kesepian sayang. Datanglah menjemput kematian,813 Aji A,PT Gramedia,26 Oktober 2022,29-Nov-24
405,6025/PAMNS/2024,6025.02,Aku kesepian sayang. Datanglah menjemput kematian,813 Aji A,PT Gramedia,26 Oktober 2022,29-Nov-24
911,6026/PAMNS/2024,6026.01,Beautiful Uncertainties,811 Ros A,Kompas Gramedia,26 Oktober 2022,29-Nov-24
6867,6027/PAMNS/2024,6027.01,Pengelolaan Jaringan dengan Windows Server 4.0,004.6  W,ANDI Yogyakarta,21-Sep-22,02 Desember 2024
6868,6028/PAMNS/2024,6028.02,Pengelolaan Jaringan dengan Windows Server 4.0,004.6  W,ANDI Yogyakarta,21-Sep-22,02 Desember 2024
735,6029/PAMNS/2024,6029.01,"Asal Mula Terjadinya Alam Semesta, Galaksi, Tata Surya, dan Kita",523.1 Tys A,PT Gramedia,26 Oktober 2022,02 Desember 2024
3892,6030/PAMNS/2024,6030.01,Keamanan dalam Media Digital,005.8 Set K,INFORMATIKA,26 Oktober 2022,02 Desember 2024
6305,6031/PAMNS/2024,6031.01,Panduan Praktis Pengembangan Web Berbasis Javasript & CGI,005.13 Pan,ANDI Yogyakarta,21-Sep-22,02 Desember 2024
6306,6032/PAMNS/2024,6032.02,Panduan Praktis Pengembangan Web Berbasis Javasript & CGI,005.13 Pan,ANDI Yogyakarta,21-Sep-22,02 Desember 2024
4862,6033/PAMNS/2024,6033.01,Manajemen dan Administrasi Database dengan SQL Server 2000,005.74 Rob M,ANDI Yogyakarta,21-Sep-22,02 Desember 2024
1578,6034/PAMNS/2024,6034.01,Cinderella Sepatu Bola,741.5 Mul C,PT. MIZAN PUSTAKA,26 Oktober 2022,02 Desember 2024
100,6035/PAMNS/2024,6035.01,37 Jam,813 Meu 3,Moka Media,26 Oktober 2022,02 Desember 2024
101,6036/PAMNS/2024,6036.02,37 Jam,813 Meu 3,Moka Media,26 Oktober 2022,02 Desember 2024
1681,6037/PAMNS/2024,6037.01,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1682,6038/PAMNS/2024,6038.02,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1683,6039/PAMNS/2024,6039.03,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1684,6040/PAMNS/2024,6040.04,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1685,6041/PAMNS/2024,6041.05,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1686,6042/PAMNS/2024,6042.06,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1687,6043/PAMNS/2024,6043.07,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,26 Oktober 2022,02 Desember 2024
1688,6044/PAMNS/2024,6044.08,Daksinapati UI 1953-1990 Asramaku Indonesiaku,378.1 Dak,PT.Daksinapati Bhakti Nusantara,22 Oktober 2022,02 Desember 2024
4750,6045/PAMNS/2024,6045.01,LIFE,813 Mon L,IKON; Imprint Penerbit Serambi,26 Oktober 2022,03 Desember 2024
4751,6046/PAMNS/2024,6046.02,LIFE,813 Mon L,IKON; Imprint Penerbit Serambi,26 Oktober 2022,03 Desember 2024
8254,6047/PAMNS/2024,6047.01,SI BEDIL MENDADAK TRAVELING: JELAJAH HALAL DI JALUR SUTRA & INNER MONGOLIA,741.5 Buj S,PT Elex Media Komputindo,26 Oktober 2022,04 Desember 2024
8255,6048/PAMNS/2024,6048.02,SI BEDIL MENDADAK TRAVELING: JELAJAH HALAL DI JALUR SUTRA & INNER MONGOLIA,741.5 Buj S,PT Elex Media Komputindo,26 Oktober 2022,04 Desember 2024
1152,6049/PAMNS/2024,6049.01,Bibi und das Drachenbaby,"741,5 Bor B",KIDDINX Studios GmBH,22-Sep-22,04 Desember 2024
1153,6050/PAMNS/2024,6050.01,Bibi und der Turbo-Besen,"741,5 And B",KIDDINX Studios GmBH,22-Sep-22,04 Desember 2024
